Year,Income mean,Income median,Income high,25th percentile,75th percentile,99th percentile
2009,70482.56831397257,52204.0,1010103,26326,91748,409619
2010,69650.9337398374,51157.0,1177783,25721,90050,419358
2011,69283.70097621961,51016.5,1959999,25157,90577,323815
2012,71731.12071306616,52000.0,2099999,26000,92697,356216
2013,73567.97894976009,53203.0,2742997,26378,95020,356400
2014,75625.85405150331,55000.0,2199998,27000,98050,370320
2015,77440.6396972676,55238.0,2204278,26915,100601,380558
2016,79931.57551378735,57200.0,2289913,28000,103430,400084
2017,83614.13205254657,60000.0,3299997,29376,107002,433989
2018,86599.91144030982,61822.0,3201026,30001,111160,434464
2019,90240.4175287146,64021.0,2247998,31692,114000,470614
